[metrics-10k] t=418s inserts=4393 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 10, 'otel_metrics_exponential_histogram_points': 11, 'otel_metrics_histogram_points': 11, 'otel_metrics_number_points': 10} db=294MB free=4.00GB mergeCPU=392.3s
[metrics-10k] t=423s inserts=4447 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 9, 'otel_metrics_exponential_histogram_points': 12, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 6} db=291MB free=3.95GB mergeCPU=398.3s
[metrics-10k] t=428s inserts=4499 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 8, 'otel_metrics_exponential_histogram_points': 13, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 8} db=297MB free=3.89GB mergeCPU=402.4s
[metrics-10k] t=433s inserts=4552 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 8, 'otel_metrics_exponential_histogram_points': 10, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 12} db=298MB free=3.82GB mergeCPU=409.0s
[metrics-10k] t=438s inserts=4605 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 10, 'otel_metrics_histogram_points': 15, 'otel_metrics_number_points': 16} db=307MB free=3.77GB mergeCPU=413.3s
[metrics-10k] t=444s inserts=4658 err=0 parts={'otel_metrics_series': 3, 'otel_metrics_summary_points': 11, 'otel_metrics_exponential_histogram_points': 10, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 8} db=307MB free=3.84GB mergeCPU=416.9s
[metrics-10k] t=449s inserts=4713 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 9, 'otel_metrics_exponential_histogram_points': 6, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 6} db=311MB free=4.01GB mergeCPU=421.8s
[metrics-10k] t=454s inserts=4765 err=0 parts={'otel_metrics_series': 2, 'otel_metrics_summary_points': 9, 'otel_metrics_exponential_histogram_points': 6, 'otel_metrics_histogram_points': 8, 'otel_metrics_number_points': 10} db=311MB free=3.96GB mergeCPU=426.4s
[metrics-10k] t=459s inserts=4818 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 8, 'otel_metrics_number_points': 13} db=319MB free=3.90GB mergeCPU=430.8s
[metrics-10k] t=464s inserts=4870 err=0 parts={'otel_metrics_series': 2, 'otel_metrics_summary_points': 11, 'otel_metrics_exponential_histogram_points': 12, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 9} db=327MB free=3.85GB mergeCPU=434.9s
[metrics-10k] t=469s inserts=4923 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 12, 'otel_metrics_exponential_histogram_points': 12, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 11} db=334MB free=3.94GB mergeCPU=443.9s
[metrics-10k] t=474s inserts=4975 err=0 parts={'otel_metrics_series': 7, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 11, 'otel_metrics_histogram_points': 12, 'otel_metrics_number_points': 14} db=339MB free=3.85GB mergeCPU=453.3s
[metrics-10k] t=479s inserts=5029 err=0 parts={'otel_metrics_series': 5, 'otel_metrics_summary_points': 9, 'otel_metrics_exponential_histogram_points': 5, 'otel_metrics_histogram_points': 17, 'otel_metrics_number_points': 8} db=343MB free=3.87GB mergeCPU=459.2s
[metrics-10k] t=484s inserts=5082 err=0 parts={'otel_metrics_series': 1, 'otel_metrics_summary_points': 7, 'otel_metrics_exponential_histogram_points': 4, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 8} db=326MB free=3.94GB mergeCPU=464.6s
[metrics-10k] t=489s inserts=5135 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 6, 'otel_metrics_exponential_histogram_points': 4, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 16} db=335MB free=3.94GB mergeCPU=468.3s
[metrics-10k] t=494s inserts=5187 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 3, 'otel_metrics_histogram_points': 10, 'otel_metrics_number_points': 7} db=333MB free=3.88GB mergeCPU=473.5s
[metrics-10k] t=499s inserts=5240 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 5, 'otel_metrics_exponential_histogram_points': 3, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 9} db=339MB free=3.82GB mergeCPU=478.0s
[metrics-10k] t=504s inserts=5292 err=0 parts={'otel_metrics_series': 6, 'otel_metrics_summary_points': 9, 'otel_metrics_exponential_histogram_points': 8, 'otel_metrics_histogram_points': 9, 'otel_metrics_number_points': 8} db=347MB free=3.78GB mergeCPU=480.8s
[metrics-10k] t=509s inserts=5345 err=0 parts={'otel_metrics_series': 4, 'otel_metrics_summary_points': 8, 'otel_metrics_exponential_histogram_points': 7, 'otel_metrics_histogram_points': 11, 'otel_metrics_number_points': 8} db=354MB free=3.81GB mergeCPU=485.0s
